Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response
1973,4,2,1,1,0,2,25,3,43,17,4,17,3,3,0,3,3,0,0,0,0,0,0
1959,0,2,1,0,1,2,258,107,291,84,37,86,4,10,3,13,3,0,0,0,0,0,0
1975,1,2,1,1,1,8,565,6,65,0,6,19,5,9,2,8,3,0,1,0,0,0,0
1952,0,2,0,0,0,5,14,10,13,4,15,9,1,2,1,4,0,0,0,0,0,0,0
1977,0,3,1,1,0,6,2,1,6,2,1,1,1,1,0,2,2,0,0,0,0,0,0
1976,0,0,2,0,0,4,1032,105,779,137,105,51,0,5,8,9,1,1,0,0,0,0,1
1976,4,1,0,0,0,1,1,0,5,0,3,9,1,0,0,3,1,0,0,0,0,0,0
1965,0,1,1,0,0,0,577,0,64,0,0,51,2,10,1,8,3,1,0,0,0,0,1
1985,0,0,0,1,0,8,64,4,68,7,5,17,4,3,1,4,3,0,0,0,0,0,0
1969,0,2,0,1,0,0,4,1,5,2,0,4,1,1,0,2,3,0,0,0,0,0,0
1973,4,2,0,1,0,8,25,5,19,7,0,23,3,3,0,3,3,0,0,0,0,0,0
1963,2,1,1,0,0,5,112,17,44,34,22,89,1,2,5,3,1,0,0,0,0,0,0
1987,0,3,2,0,0,1,163,23,424,27,65,76,1,3,10,13,0,0,0,0,0,0,0
1960,0,2,0,1,1,9,17,8,14,10,4,3,2,1,0,4,3,0,0,0,0,0,0
1970,2,2,0,1,1,4,130,0,16,0,0,5,5,3,1,4,3,0,1,0,0,0,0
1957,0,0,1,0,1,0,292,6,37,0,3,34,4,6,1,6,3,0,1,0,1,0,1
1967,0,1,1,0,1,7,135,9,39,4,0,7,1,2,2,5,0,0,0,0,0,0,0
1957,0,0,1,1,1,4,7,0,8,2,0,1,1,1,0,2,3,0,0,0,0,0,0
1973,2,1,1,0,0,8,445,37,359,98,28,18,1,2,4,8,0,0,0,0,0,0,0
1972,2,0,1,1,0,6,15,2,10,0,1,4,1,1,0,3,3,0,0,0,0,0,0
1970,1,2,0,1,0,8,27,2,14,0,0,0,3,3,1,3,2,0,0,0,0,0,0
1983,0,2,0,1,0,3,5,3,11,12,5,9,1,2,0,3,2,0,0,0,0,0,0
1960,0,4,1,0,1,7,505,0,26,0,0,75,5,7,4,6,2,0,1,0,0,0,0
1972,0,3,1,1,1,3,51,2,7,0,1,2,2,2,0,3,3,0,0,0,0,0,0
1983,1,2,1,0,0,3,135,46,92,65,61,11,2,5,2,7,2,0,0,0,0,0,0
1960,4,0,1,0,1,0,53,1,5,2,1,10,2,2,0,3,3,0,0,0,0,0,0
1959,1,0,0,0,1,4,41,1,6,2,0,5,2,2,0,3,2,0,0,0,0,0,0
1945,1,2,1,0,0,6,562,81,276,80,40,81,1,6,3,6,1,0,0,0,0,0,0
1959,0,2,2,0,0,3,217,76,690,50,26,38,1,3,11,5,0,0,0,0,0,0,1
1979,3,1,0,1,0,9,1,3,6,10,0,9,1,1,0,3,2,0,0,0,0,0,0
1964,0,2,1,1,1,1,144,1,32,2,1,7,4,4,1,4,3,0,0,0,0,0,0
1969,0,2,1,0,2,5,295,106,271,75,98,65,4,6,4,12,2,0,0,0,0,0,0
1978,0,0,1,1,0,1,76,3,31,4,4,27,2,3,1,3,3,0,0,0,0,0,0
1979,0,1,2,0,1,4,425,115,292,23,35,79,1,6,6,11,1,0,0,0,0,0,0
1991,1,0,1,0,0,4,1332,17,311,23,51,86,1,7,4,5,4,0,1,0,0,0,1
1963,2,1,1,0,1,2,527,0,21,0,0,60,3,8,1,8,2,0,1,0,0,0,0
1991,0,0,2,0,0,9,490,44,125,29,20,22,1,6,7,11,1,0,1,1,0,0,1
1980,1,2,1,1,0,1,378,0,101,0,0,72,5,6,4,6,3,0,0,0,0,0,0
1962,0,0,1,1,1,2,64,1,21,0,1,27,2,2,1,3,2,0,0,0,0,0,0
1970,0,2,2,0,0,2,547,99,812,151,82,33,0,4,6,5,0,0,0,1,1,0,0
1978,4,2,1,1,0,7,47,90,94,123,103,120,5,9,1,5,4,0,0,0,0,0,0
1967,4,1,0,1,1,8,12,5,25,0,9,30,2,1,1,3,2,0,0,0,0,0,0
1969,0,1,0,1,0,3,1,6,7,11,5,3,2,2,0,3,2,0,0,0,0,0,0
1953,2,1,1,0,1,6,320,48,133,39,72,48,4,6,2,10,1,0,0,0,0,0,0
1967,2,0,0,1,0,1,34,3,29,0,4,10,3,2,1,3,2,0,0,0,0,0,1
1985,2,2,0,2,0,6,9,0,7,3,4,7,2,1,0,3,3,0,0,0,0,0,0
1976,0,3,0,1,0,8,17,0,14,7,3,2,1,1,0,3,3,0,0,0,0,0,0
1983,0,0,2,0,0,6,722,27,102,44,72,168,0,6,8,13,0,0,1,1,1,0,1
1965,4,1,2,0,0,8,162,33,124,40,28,172,2,3,4,7,0,0,0,0,0,0,0
1953,2,2,1,1,1,5,70,0,16,0,0,4,2,2,0,4,2,0,0,0,0,0,0
1961,1,2,1,0,1,2,352,0,27,10,0,15,3,6,1,7,2,0,0,0,0,0,0
1956,1,1,2,1,1,7,492,19,110,16,12,12,4,6,3,10,1,0,0,0,0,0,0
1952,0,2,1,0,1,1,120,58,73,65,89,58,5,5,4,5,2,0,0,0,0,0,0
1958,2,5,1,1,1,4,534,5,47,0,5,41,5,11,1,6,3,0,0,0,0,0,0
1969,0,2,2,0,0,1,236,106,189,23,41,130,1,7,2,9,1,0,0,0,0,0,0
1963,0,2,1,0,1,9,231,65,196,38,71,124,1,6,5,7,1,0,0,0,0,0,0
1964,1,2,1,1,1,5,220,0,33,3,0,23,5,5,1,5,3,0,0,0,0,0,0
1967,1,1,1,0,0,2,796,14,590,38,44,0,1,4,5,13,1,0,1,0,0,0,0
1976,3,3,0,1,0,3,0,1,3,10,6,9,2,1,0,3,3,0,0,0,0,0,0
1959,1,2,0,2,1,6,53,1,34,2,0,16,3,2,2,2,3,0,0,0,0,0,0
1973,1,5,0,1,1,3,15,0,8,4,2,20,2,1,1,2,2,1,0,0,0,0,1
1965,1,3,1,1,1,7,17,1,12,3,1,4,2,2,0,3,3,0,0,0,0,0,0
1976,2,1,1,0,1,0,738,0,232,13,20,50,2,3,5,7,3,0,0,0,0,0,1
1962,0,2,2,0,0,7,399,28,756,36,40,126,1,5,7,10,0,0,0,0,0,0,0
1974,1,0,1,0,1,4,614,16,132,43,33,33,3,8,5,9,2,0,0,0,0,0,0
1988,0,1,1,1,0,1,32,34,41,73,16,116,3,4,2,3,3,0,0,0,0,0,0
1976,0,2,1,0,2,3,598,16,141,32,41,49,3,3,3,6,3,0,0,0,0,0,0
1975,0,2,0,1,0,4,2,1,18,20,11,16,1,2,0,3,2,0,0,0,0,0,1
1981,0,1,1,1,0,4,6,1,10,0,1,4,1,1,0,2,3,0,0,0,0,0,0
1973,4,2,0,2,1,9,73,3,90,12,1,32,7,4,1,4,3,0,0,0,0,0,0
1966,2,2,1,0,0,6,42,16,29,12,20,8,1,2,1,4,1,0,0,0,0,0,0
1953,2,2,1,0,2,5,295,21,78,39,13,13,1,4,4,7,1,0,0,0,0,0,0
1969,0,2,1,0,1,9,346,17,48,23,13,13,4,8,1,6,2,0,1,0,0,0,0
1972,4,1,1,0,1,2,233,20,57,8,20,91,4,7,1,5,3,0,0,0,0,0,0
1988,0,5,0,1,0,1,5,7,24,19,14,20,4,3,0,4,2,0,0,0,0,0,0
1952,1,1,1,0,1,5,888,0,57,0,0,76,2,8,5,11,2,0,0,0,0,0,0
1949,0,1,2,0,0,1,997,26,269,34,13,42,1,10,4,6,1,0,1,1,0,0,1
1958,0,0,1,0,1,0,212,6,69,4,12,3,3,6,1,5,3,0,0,0,0,0,0
1978,0,0,1,1,2,4,8,1,7,2,0,0,1,0,0,3,1,0,0,0,0,0,0
1977,0,1,1,0,1,0,42,11,57,10,28,14,1,1,1,6,0,0,0,0,0,0,0
1955,0,0,2,0,0,6,536,11,387,149,91,57,1,3,4,10,0,0,0,0,0,0,0
1958,2,0,0,2,1,0,5,0,3,0,0,5,1,1,0,2,3,0,0,0,0,0,0
1945,1,2,2,0,0,2,1349,16,249,43,16,33,2,10,6,9,2,0,0,0,0,0,0
1984,0,2,0,1,0,9,53,3,49,7,4,5,4,3,0,4,3,0,0,0,0,0,0
1975,1,3,2,0,0,0,1001,12,240,16,12,12,1,5,4,10,0,0,0,0,0,0,0
1966,0,1,1,2,1,8,18,1,32,6,3,28,3,2,0,4,2,0,0,0,0,0,0
1953,0,3,1,0,0,2,125,16,98,134,21,27,1,6,7,4,1,1,0,0,0,0,0
1959,0,3,1,0,0,6,212,5,33,7,0,2,1,3,2,6,1,0,1,0,0,0,0
1957,0,1,0,1,1,8,15,10,19,8,17,20,3,2,1,3,2,0,0,0,0,0,0
1965,0,1,0,1,1,5,7,3,10,8,1,7,2,1,0,3,3,0,0,0,0,0,0
1982,0,2,0,1,0,7,12,4,6,11,8,16,2,2,0,3,3,0,0,0,0,0,0
1970,0,2,1,2,0,0,85,7,24,2,3,27,1,3,1,3,2,0,0,0,0,0,0
1959,1,1,1,1,1,1,81,0,6,0,0,6,2,2,1,3,2,0,0,0,0,0,0
1967,0,0,1,0,1,7,59,0,12,0,0,48,1,2,2,2,1,1,0,0,0,0,0
1975,1,2,2,0,1,5,1149,71,449,69,71,26,1,11,8,8,2,0,0,0,0,0,0
1948,1,2,2,0,0,7,847,66,119,86,89,111,1,9,10,5,1,0,1,0,1,0,1
1970,1,2,1,1,1,9,29,0,14,0,0,2,2,2,0,3,3,0,0,0,0,0,0
1959,0,1,1,2,1,9,2,0,5,2,0,1,1,0,0,3,0,0,0,0,0,0,0
1976,1,2,1,0,1,8,152,3,22,2,5,7,1,4,1,4,2,0,0,0,0,0,0
1988,4,2,0,1,0,7,12,11,10,3,12,9,3,2,1,3,2,0,0,0,0,0,0
1946,2,2,1,0,0,2,620,26,195,34,17,141,1,6,4,13,0,0,0,0,0,0,0
1984,2,2,0,1,0,1,47,1,6,0,0,12,1,1,1,3,2,0,0,0,0,0,0
1961,3,2,0,0,0,8,1,9,7,2,14,10,1,2,0,3,2,0,0,0,0,0,0
1983,0,2,0,1,0,4,10,1,18,10,4,7,1,1,1,2,4,0,0,0,0,0,0
1970,1,0,0,0,1,6,35,0,2,0,0,2,2,1,0,4,2,0,0,0,0,0,0
1966,0,2,1,0,1,3,356,0,107,19,9,117,2,7,1,8,2,0,0,0,0,0,0
1976,0,2,2,0,0,1,783,30,537,140,76,15,1,4,10,9,0,0,0,0,0,0,0
1964,1,2,1,1,1,1,42,1,18,3,0,4,2,2,0,3,3,0,0,0,0,0,0
1978,3,1,0,1,0,5,1,4,10,29,0,36,1,1,1,2,2,1,0,0,0,0,0
1989,1,1,1,0,0,9,466,22,432,147,113,102,1,8,7,12,1,0,0,0,0,0,0
1988,0,2,1,1,0,9,23,3,21,3,19,22,2,3,0,3,3,0,0,0,0,0,0
1973,0,2,1,1,1,3,235,6,45,8,9,12,4,5,1,6,2,0,0,0,0,0,0
1977,0,2,0,1,1,2,10,0,10,3,1,7,2,1,1,2,3,0,0,0,0,0,0
1980,2,2,2,0,0,8,656,16,106,32,16,8,1,7,3,12,1,0,0,0,0,0,0
1973,1,0,1,1,1,8,96,1,79,7,1,79,6,5,1,3,3,1,0,0,0,0,1
1952,0,3,1,0,1,5,448,4,34,6,4,39,3,8,1,7,2,0,1,0,0,0,0
1978,0,3,1,0,1,6,587,43,337,42,87,54,3,11,6,9,2,0,0,0,0,0,0
1965,1,0,1,1,1,7,22,0,13,0,0,3,2,1,0,3,3,0,0,0,0,0,0
1984,2,0,0,0,0,0,6,4,1,7,2,15,1,0,1,2,2,1,0,0,0,0,1
1988,0,1,0,1,0,8,7,6,13,7,6,14,1,1,0,3,4,1,0,0,0,0,0
1963,2,3,1,1,1,5,81,18,113,47,13,21,6,4,2,5,2,0,0,0,0,0,0
1966,0,2,1,0,1,9,54,0,7,0,0,4,1,2,0,3,2,0,0,0,0,0,0
1954,0,3,1,0,1,1,1170,48,320,42,32,192,5,11,4,9,3,1,0,0,0,0,1
1956,0,1,1,0,1,1,72,24,68,65,4,8,5,3,1,6,1,0,0,0,0,0,0
1954,0,1,2,0,0,1,613,22,319,33,102,12,1,4,6,9,0,0,0,0,0,0,0
1968,1,2,1,1,1,7,224,0,30,0,0,10,8,5,1,5,3,0,0,0,0,0,0
1977,0,2,1,1,0,7,171,7,171,25,19,89,6,8,1,5,3,0,0,0,0,0,0
1978,4,0,1,2,1,0,12,0,4,0,0,1,1,1,0,2,3,0,0,0,0,0,0
1948,2,2,2,0,0,8,1076,16,417,42,48,16,1,8,10,6,1,0,1,1,0,0,0
1954,2,4,1,0,1,2,182,4,33,0,0,66,2,4,1,5,3,0,0,0,0,0,0
1980,0,1,2,1,0,4,824,32,162,42,32,43,2,11,4,11,2,0,0,0,0,0,0
1988,4,1,1,1,0,9,30,11,25,29,1,18,1,1,1,4,1,0,0,0,0,0,0
1969,0,2,2,0,0,5,377,10,540,80,30,10,1,3,5,7,0,0,0,0,0,0,0
1970,1,1,2,0,2,0,520,7,154,19,0,14,2,6,3,11,1,0,0,0,0,0,0
1980,1,2,0,1,0,4,155,1,25,0,1,3,4,4,1,4,3,0,0,0,0,0,0
1962,0,3,1,0,1,3,897,23,207,15,11,92,5,9,6,12,2,0,0,0,0,0,0
1978,0,1,1,1,0,4,131,0,16,2,1,39,4,3,1,4,3,0,0,0,0,0,0
1976,0,1,1,0,1,8,297,7,79,0,11,182,2,8,2,4,3,0,0,0,0,0,0
1952,0,3,1,0,1,2,787,20,204,0,0,92,3,2,2,11,3,0,0,0,0,0,0
1972,1,2,2,0,0,7,792,86,740,67,51,17,1,3,5,8,0,0,0,0,0,0,0
1986,1,1,0,1,0,6,4,1,9,3,0,0,1,1,0,2,3,0,0,0,0,0,0
1966,0,0,1,1,1,3,231,7,137,4,15,39,9,5,1,8,3,0,0,0,0,0,1
1971,0,1,1,1,0,6,3,1,8,4,3,3,1,1,0,2,3,0,0,0,0,0,0
1951,0,0,0,0,0,3,0,4,5,6,0,4,1,1,0,3,1,0,0,0,0,0,0
1965,1,2,1,0,1,8,562,21,464,28,10,32,3,7,8,11,2,0,0,0,0,0,0
1975,4,2,0,1,0,4,5,9,20,6,8,21,2,2,0,4,2,0,0,0,0,0,0
1982,2,1,0,1,0,4,18,0,4,0,0,1,1,1,0,3,3,0,0,0,0,0,0
1958,1,0,2,0,1,3,415,5,124,15,35,11,1,5,2,11,1,0,0,0,0,0,0
1973,0,0,0,1,0,5,5,3,10,12,7,20,4,3,1,3,3,0,0,0,0,0,0
1958,0,1,1,0,1,9,382,114,276,75,124,38,2,6,4,4,1,0,0,0,0,0,0
1971,0,0,0,1,0,7,14,1,7,2,1,1,1,2,0,2,4,0,0,0,0,0,0
1958,0,2,1,0,1,3,789,0,133,0,28,152,7,11,5,8,3,0,0,0,0,0,0
1964,1,2,0,1,1,3,11,0,5,0,0,1,2,1,0,3,2,0,0,0,0,0,0
1972,0,2,2,1,0,4,1218,16,272,104,0,80,2,5,3,6,2,0,1,1,1,0,1
1953,0,2,2,0,1,7,925,64,179,133,12,77,2,9,4,6,2,0,0,0,0,0,0
1975,2,0,0,1,0,5,16,3,25,6,1,13,2,2,0,3,3,0,0,0,0,0,0
1985,0,0,0,1,0,5,3,3,7,0,2,11,2,1,0,3,2,0,0,0,0,0,0
1958,4,1,0,0,0,9,45,47,52,21,20,25,2,3,1,5,2,0,0,0,0,0,0
1967,0,1,2,1,1,7,650,28,353,45,42,30,5,4,6,11,3,0,0,0,0,0,0
1974,1,0,0,1,0,3,24,0,8,0,0,1,2,1,0,3,2,0,0,0,0,0,0
1961,1,1,1,0,1,4,918,21,118,13,10,21,3,8,3,5,2,0,1,0,0,0,0
1964,0,0,1,0,1,9,138,33,87,28,24,12,4,3,2,7,1,0,0,0,0,0,0
1964,0,0,0,1,1,9,12,4,2,10,6,10,4,2,0,4,2,0,0,0,0,0,0
1957,1,0,1,2,1,2,11,0,4,0,0,2,1,1,0,2,3,0,0,0,0,0,0
1979,0,3,0,1,0,6,1,2,8,4,3,13,2,1,1,2,3,1,0,0,0,0,1
1968,1,3,2,0,2,4,554,41,215,11,0,24,3,10,2,10,2,0,0,0,0,0,0
1970,2,2,1,1,0,8,167,2,62,24,13,7,4,4,1,6,2,0,0,0,0,0,0
1978,1,2,1,1,0,3,9,0,6,4,1,5,1,1,0,2,4,0,0,0,0,0,0
1952,2,1,1,1,1,0,177,2,71,3,2,20,6,5,2,4,3,0,0,0,0,0,1
1966,2,2,1,1,1,3,38,4,22,4,2,20,4,3,1,3,3,0,0,0,0,0,0
1970,1,2,1,1,1,7,77,2,35,0,1,69,4,3,2,2,3,1,0,0,0,0,1
1970,0,1,0,1,0,1,10,7,19,8,2,21,2,2,2,2,2,0,0,0,0,0,0
1953,0,0,2,0,0,3,778,44,499,95,73,146,2,3,4,5,3,0,0,0,0,0,1
1983,2,0,0,1,0,1,16,7,23,0,8,6,3,3,0,4,2,0,0,0,0,0,0
1975,1,1,1,0,1,0,167,0,43,6,2,13,2,4,2,4,2,0,0,0,0,0,0
1960,0,2,0,1,1,5,13,2,14,8,7,4,4,2,0,4,2,0,0,0,0,0,0
1963,0,3,0,1,1,3,33,6,40,3,7,10,3,2,0,4,3,0,0,0,0,0,0
1963,1,1,1,0,1,8,625,7,99,10,22,7,2,6,3,12,1,0,0,0,0,0,0
1981,2,1,2,0,0,2,68,129,396,188,22,15,1,3,3,5,0,0,0,0,0,0,0
1968,2,3,1,0,1,6,635,15,100,20,7,131,1,9,3,9,2,0,0,0,0,0,0
1981,3,2,0,1,0,4,4,19,9,28,25,17,3,3,0,4,3,0,0,0,0,0,0
1976,0,1,1,0,1,8,297,7,79,0,11,182,2,8,2,4,3,0,0,0,0,0,0
1946,0,1,1,0,0,2,84,5,38,150,12,28,2,4,1,6,3,0,0,0,0,0,0
1974,1,1,1,0,1,7,204,7,149,20,15,66,1,5,1,8,0,0,0,0,0,0,0
1975,2,2,1,1,1,1,26,0,8,0,0,3,2,2,0,3,2,0,0,0,0,0,0
1974,0,2,0,1,0,7,15,6,20,4,5,20,1,3,1,2,3,0,0,0,0,0,0
1952,0,1,2,0,0,1,304,98,230,150,74,74,1,6,3,13,1,0,0,0,0,0,0
1949,2,3,0,0,0,6,248,3,81,4,3,51,3,7,1,5,3,0,0,0,0,0,0
1984,4,1,0,0,0,1,20,6,5,0,9,12,1,1,0,3,3,1,0,0,0,0,0
1969,0,1,1,1,0,7,39,0,56,20,8,14,3,3,1,3,3,0,0,0,0,0,0
1971,0,1,0,2,0,7,8,3,22,21,1,13,3,3,0,3,4,0,0,0,0,0,0
1965,0,1,0,1,1,0,9,1,3,0,4,8,1,0,0,3,2,0,0,0,0,0,0
1952,2,1,1,0,1,6,1241,0,80,0,13,40,3,3,6,11,3,0,1,0,0,1,0
1988,4,3,0,1,0,2,6,4,7,4,3,8,1,1,0,3,3,0,0,0,0,0,0
1986,2,1,1,1,0,4,65,4,16,0,4,11,1,3,0,3,3,0,0,0,0,0,0
1982,0,0,1,0,0,4,395,15,263,60,54,38,1,2,3,6,0,0,0,0,0,0,0
1965,1,3,1,0,1,3,801,0,80,0,0,35,5,8,3,12,2,0,1,0,0,0,0
1958,0,3,0,1,1,5,36,0,12,2,2,10,4,3,1,3,2,0,0,0,0,0,0
1956,4,1,1,0,1,4,513,14,154,19,0,28,1,9,2,9,2,0,0,0,0,0,0
1978,1,2,1,1,0,8,37,0,46,4,3,0,1,2,1,3,1,0,0,0,0,0,0
1988,0,0,1,1,0,4,80,15,93,20,13,52,3,5,1,4,3,0,0,0,0,0,0
1984,0,1,0,1,0,6,14,1,21,2,3,25,3,3,1,3,3,0,0,0,0,0,0
1966,0,4,0,0,0,6,1,26,25,17,23,15,1,3,0,3,4,0,0,0,0,0,1
1947,0,0,2,0,0,8,675,11,400,15,45,11,1,2,5,10,0,0,0,1,0,0,0
1964,2,2,1,0,1,9,509,0,27,0,0,10,1,8,3,6,3,0,1,0,0,0,0
1992,2,1,1,0,0,1,154,2,46,20,4,15,1,4,2,4,1,0,0,0,0,0,0
1976,0,3,0,1,0,8,3,5,14,2,12,17,4,3,1,3,2,0,0,0,0,0,0
1967,0,2,0,2,1,2,25,0,8,2,0,2,2,2,0,3,3,0,0,0,0,0,0
1976,2,0,2,0,0,4,768,44,561,77,44,14,1,6,6,10,1,0,0,0,0,0,0
1966,0,2,1,1,1,1,185,0,28,3,2,17,6,3,1,6,1,0,0,0,0,0,0
1956,2,1,0,1,1,8,24,0,7,0,0,1,2,2,0,3,2,0,0,0,0,0,0
1972,0,2,1,1,1,5,44,4,21,6,0,27,2,3,0,3,3,0,0,0,0,0,0
1985,0,0,1,1,0,3,91,64,128,65,3,50,2,4,3,6,1,0,0,0,0,0,0
1951,0,2,0,1,1,3,11,0,7,3,1,6,2,1,0,3,2,0,0,0,0,0,0
1970,0,0,1,1,2,6,738,20,172,52,50,20,6,2,3,10,3,0,1,0,1,0,0
